,x
10999,5.00E-07
11000,5.02E-07
11001,5.43E-07
11002,5.19E-07
11003,5.11E-07
11004,4.73E-07
11005,5.13E-07
11006,5.27E-07
11007,5.52E-07
11008,4.89E-07
11009,4.72E-07
11010,4.95E-07
11011,4.92E-07
11012,5.14E-07
11013,5.74E-07
11014,4.97E-07
11015,4.70E-07
11016,5.11E-07
11017,5.43E-07
11018,5.05E-07
11019,4.89E-07
11020,5.07E-07
11021,5.37E-07
11022,5.53E-07
11023,4.92E-07
11024,4.72E-07
11025,5.05E-07
11026,5.12E-07
11027,4.83E-07
11028,5.23E-07
11029,5.69E-07
11030,5.15E-07
11031,5.14E-07
11032,4.80E-07
11033,4.99E-07
11034,5.20E-07
11035,5.07E-07
11036,5.40E-07
11037,4.97E-07
11038,4.82E-07
11039,5.02E-07
11040,5.18E-07
11041,5.47E-07
11042,5.26E-07
11043,4.94E-07
11044,4.96E-07
11045,4.93E-07
11046,5.20E-07
11047,5.15E-07
11048,4.81E-07
11049,5.31E-07
11050,5.17E-07
11051,4.81E-07
11052,4.99E-07
11053,5.17E-07
11054,4.93E-07
11055,5.41E-07
11056,4.69E-07
11057,5.05E-07
11058,4.92E-07
11059,5.12E-07
11060,5.58E-07
11061,4.90E-07
11062,5.00E-07
11063,5.59E-07
11064,4.98E-07
11065,5.25E-07
11066,4.90E-07
11067,5.31E-07
11068,5.20E-07
11069,5.51E-07
11070,5.08E-07
11071,5.32E-07
11072,5.53E-07
11073,5.53E-07
11074,5.08E-07
11075,5.15E-07
11076,5.31E-07
11077,5.22E-07
11078,5.47E-07
11079,4.78E-07
11080,4.87E-07
11081,5.27E-07
11082,4.91E-07
11083,5.19E-07
11084,5.07E-07
11085,5.19E-07
11086,5.09E-07
11087,5.07E-07
11088,4.93E-07
11089,4.90E-07
11090,5.10E-07
11091,4.76E-07
11092,5.18E-07
11093,5.23E-07
11094,5.17E-07
11095,4.47E-07
11096,5.06E-07
11097,4.99E-07
11098,4.89E-07
11099,4.90E-07
11100,5.08E-07
11101,5.30E-07
11102,5.16E-07
11103,5.47E-07
11104,5.20E-07
11105,4.86E-07
11106,5.02E-07
11107,4.69E-07
11108,5.18E-07
11109,5.23E-07
11110,5.24E-07
11111,5.31E-07
11112,4.74E-07
11113,5.01E-07
11114,5.42E-07
11115,5.96E-07
11116,4.90E-07
11117,5.41E-07
11118,5.51E-07
11119,4.89E-07
11120,4.90E-07
11121,4.84E-07
11122,5.38E-07
11123,5.07E-07
11124,5.24E-07
11125,4.82E-07
11126,5.36E-07
11127,4.65E-07
11128,5.14E-07
11129,4.99E-07
11130,5.09E-07
11131,5.27E-07
11132,5.19E-07
11133,5.26E-07
11134,5.14E-07
11135,4.97E-07
11136,4.98E-07
11137,5.76E-07
11138,4.34E-07
11139,4.51E-07
11140,5.04E-07
11141,5.71E-07
11142,4.71E-07
11143,5.20E-07
11144,5.55E-07
11145,5.30E-07
11146,5.00E-07
11147,5.20E-07
11148,5.43E-07
11149,5.08E-07
11150,5.99E-07
11151,4.94E-07
11152,5.30E-07
11153,4.77E-07
11154,5.34E-07
11155,5.02E-07
11156,4.84E-07
11157,4.85E-07
11158,5.11E-07
11159,5.21E-07
11160,5.13E-07
11161,5.23E-07
11162,4.84E-07
11163,5.14E-07
11164,4.61E-07
11165,5.18E-07
11166,5.21E-07
11167,5.15E-07
11168,4.90E-07
11169,4.77E-07
11170,5.08E-07
11171,5.28E-07
11172,5.10E-07
11173,5.17E-07
11174,4.78E-07
11175,5.02E-07
11176,5.34E-07
11177,4.95E-07
11178,5.03E-07
11179,5.14E-07
11180,5.29E-07
11181,5.02E-07
11182,4.58E-07
11183,5.18E-07
11184,4.78E-07
11185,4.85E-07
11186,5.06E-07
11187,4.80E-07
11188,5.19E-07
11189,4.25E-07
11190,5.08E-07
11191,5.27E-07
11192,4.86E-07
11193,5.19E-07
11194,5.31E-07
11195,4.94E-07
11196,5.07E-07
11197,5.08E-07
11198,5.12E-07
11199,5.20E-07
11200,5.12E-07
11201,5.00E-07
11202,5.16E-07
11203,5.29E-07
11204,4.62E-07
11205,5.22E-07
11206,5.45E-07
11207,5.51E-07
11208,5.54E-07
11209,4.92E-07
11210,5.41E-07
11211,5.14E-07
11212,5.38E-07
11213,5.15E-07
11214,5.42E-07
11215,4.99E-07
11216,5.18E-07
11217,4.79E-07
11218,5.32E-07
11219,5.27E-07
11220,4.79E-07
11221,5.11E-07
11222,5.48E-07
11223,4.95E-07
11224,5.16E-07
11225,4.75E-07
11226,4.99E-07
11227,5.06E-07
11228,4.96E-07
11229,4.98E-07
11230,5.16E-07
11231,5.12E-07
11232,4.95E-07
11233,4.91E-07
11234,5.23E-07
11235,5.15E-07
11236,4.85E-07
11237,4.69E-07
11238,5.34E-07
11239,5.07E-07
11240,5.65E-07
11241,4.94E-07
11242,5.28E-07
11243,5.21E-07
11244,4.93E-07
11245,5.38E-07
11246,5.58E-07
11247,5.09E-07
11248,4.83E-07
11249,5.13E-07
11250,4.73E-07
11251,4.98E-07
11252,5.64E-07
11253,5.29E-07
11254,4.91E-07
11255,5.33E-07
11256,5.27E-07
11257,4.83E-07
11258,4.90E-07
11259,5.12E-07
11260,4.81E-07
11261,5.25E-07
11262,5.27E-07
11263,4.80E-07
11264,5.43E-07
11265,5.11E-07
11266,4.75E-07
11267,5.77E-07
11268,5.22E-07
11269,5.56E-07
11270,5.12E-07
11271,5.48E-07
11272,4.46E-07
11273,4.95E-07
11274,5.11E-07
11275,4.98E-07
11276,5.31E-07
11277,4.99E-07
11278,5.10E-07
11279,5.14E-07
11280,5.06E-07
11281,5.00E-07
11282,5.33E-07
11283,4.78E-07
11284,5.07E-07
11285,5.20E-07
11286,4.83E-07
11287,5.31E-07
11288,5.20E-07
11289,4.98E-07
11290,5.56E-07
11291,5.35E-07
11292,5.24E-07
11293,4.73E-07
11294,5.45E-07
11295,4.99E-07
11296,4.87E-07
11297,5.22E-07
11298,4.79E-07
11299,5.13E-07
11300,4.97E-07
11301,5.18E-07
11302,5.32E-07
11303,4.80E-07
11304,5.09E-07
11305,5.65E-07
11306,5.75E-07
11307,5.34E-07
11308,5.09E-07
11309,4.85E-07
11310,4.93E-07
11311,5.15E-07
11312,5.14E-07
11313,4.95E-07
11314,5.16E-07
11315,5.11E-07
11316,4.90E-07
11317,4.87E-07
11318,5.03E-07
11319,4.77E-07
11320,5.04E-07
11321,5.17E-07
11322,5.54E-07
11323,5.42E-07
11324,5.60E-07
11325,5.26E-07
11326,4.85E-07
11327,5.60E-07
11328,5.28E-07
11329,5.19E-07
11330,4.83E-07
11331,5.25E-07
11332,5.03E-07
11333,5.17E-07
11334,4.81E-07
11335,5.26E-07
11336,5.08E-07
11337,5.10E-07
11338,5.00E-07
11339,5.44E-07
11340,4.65E-07
11341,5.72E-07
11342,4.74E-07
11343,5.23E-07
11344,5.46E-07
11345,5.18E-07
11346,5.32E-07
11347,4.67E-07
11348,5.59E-07
11349,5.40E-07
11350,5.24E-07
11351,5.41E-07
11352,5.51E-07
11353,5.07E-07
11354,5.36E-07
11355,5.10E-07
11356,5.29E-07
11357,4.97E-07
11358,5.59E-07
11359,4.99E-07
11360,4.86E-07
11361,5.04E-07
11362,5.07E-07
11363,4.34E-07
11364,5.32E-07
11365,5.96E-07
11366,4.94E-07
11367,4.93E-07
11368,4.86E-07
11369,5.39E-07
11370,4.74E-07
11371,5.19E-07
11372,5.05E-07
11373,4.73E-07
11374,4.92E-07
11375,5.08E-07
11376,4.88E-07
11377,5.19E-07
11378,4.80E-07
11379,5.22E-07
11380,5.09E-07
11381,4.97E-07
11382,5.23E-07
11383,5.18E-07
11384,5.10E-07
11385,4.95E-07
11386,5.40E-07
11387,4.76E-07
11388,5.18E-07
11389,5.19E-07
11390,5.09E-07
11391,5.09E-07
11392,4.94E-07
11393,5.06E-07
11394,5.30E-07
11395,4.93E-07
11396,5.61E-07
11397,5.38E-07
11398,5.23E-07
